column,description
EPAFacilityID,Core facility identifier.
Name,Facility name in its latest submission.
LatestCompany1,Primary owner in the facility's latest submission.
LatestCompany2,Second-listed owner in the facility's latest submission.
LatestOperator,Operator in the facility's latest submission.
Addr1,"Facility street address, part 1, in its latest submission."
Addr2,"Facility street address, part 2, in its latest submission."
City,City listed in the facility's latest submission.
State,State listed in the facility's latest submission.
ZipCode,ZIP code listed in the facility's latest submission.
CountyFIPS,"The county's FIPS code, per the facility's latest submission."
Lat,The facility latitude in its latest submission.
Lng,The facility latitude in its latest submission.
NumSubmissions,The number of RMP submissions for this facility.
LatestValidationDate,The date the facility's latest submission was validated by the EPA.
LatestReceiptDate,The date the EPA received that most-recently-validated submission.
LatestDeregDate,"The date, per the most-recently-validated submission, that the facility deregistered from the risk management program, either because it ceased operations entirely or no longer uses any regulated substance above the reporting threshold."
LatestDeregEffDate,"The date that the deregistration was ""effective""; i.e., that its operations no longer required RMP participation."
NAICSCodesInLatest,"The distinct NAICS codes, across all processes, listed in the latest submission. See NAICS Codes spreadsheet to look these up."
ChemicalsInLatest,"The chemicals disclosed in the latest submission. Quantity, supposed to be reported in pounds, indicated as {number}. Sometimes can include duplicate entries when two separate processes use the same kind of chemicals."
AccidentChemicalsInLatest,"Chemicals released in the accidents in the latest submission’s five-year accident history, with quantities released as {number}."
NumAccidentsInLatest,The number of accidents listed in the latest submission's five-year accident history.
