EPAFacilityID,SubmissionID,AccidentHistoryID,AccidentDate,AccidentTime,AccidentChemicals,AccidentReleaseDuration,NAICSCode,RE_Gas,RE_Spill,RE_Fire,RE_Explosion,RE_ReactiveIncident,RS_StorageVessel,RS_Piping,RS_ProcessVessel,RS_TransferHose,RS_Valve,RS_Pump,RS_Joint,OtherReleaseSource,WindSpeed,WindSpeedUnitCode,WindDirection,Temperature,StabilityClass,Precipitation,WeatherUnknown,DeathsWorkers,DeathsPublicResponders,DeathsPublic,InjuriesWorkers,InjuriesPublicResponders,InjuriesPublic,OnsitePropertyDamage,OffsiteDeaths,Hospitalization,MedicalTreatment,Evacuated,ShelteredInPlace,OffsitePropertyDamage,ED_Kills,ED_MinorDefoliation,ED_WaterContamination,ED_SoilContamination,ED_Other,InitiatingEvent,CF_EquipmentFailure,CF_HumanError,CF_ImproperProcedure,CF_Overpressurization,CF_UpsetCondition,CF_BypassCondition,CF_Maintenance,CF_ProcessDesignFailure,CF_UnsuitableEquipment,CF_UnusualWeather,CF_ManagementError,CF_Other,OffsiteRespondersNotify,CI_ImprovedEquipment,CI_RevisedMaintenance,CI_RevisedTraining,CI_RevisedOpProcedures,CI_NewProcessControls,CI_NewMitigationSystems,CI_RevisedERPlan,CI_ChangedProcess,CI_ReducedInventory,CI_None,CI_OtherType,CBI_Flag
100000112273,1000115815,1000083940,2024-02-13,2355,"Titanium tetrachloride  [Titanium chloride (TiCl4) (T-4)-] {663}",00005,32513,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,1.0,a,N,33.0,,No,No,0,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,,"No, not notified",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,No
100000056841,1000115814,1000083939,2023-12-06,1050,"Chlorine {1}",00100,22132,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,1.0,a,NNE,66.0,D,No,No,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,No,No,No,No,No,No,No,No,No,,"No, not notified",No,No,Yes,No,No,No,No,No,No,No,,No
100000007878,1000115807,1000083937,2022-12-09,0025,"Ammonia (anhydrous) {51}",03500,311615,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,5.0,a,SSW,72.0,A,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,No,No,No,No,No,No,No,Yes,No,No,No,,"No, not notified",No,No,No,No,Yes,No,No,No,No,No,,No
100000007878,1000115807,1000083938,2019-03-15,1230,"Ammonia (anhydrous) {27}",00100,311615,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,5.0,a,SSE,78.0,C,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",Yes,No,No,No,No,No,No,No,No,No,,No
100000084703,1000115777,1000083957,2013-10-05,1715,"Chlorine {1}",00015,22131,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,20.0,a,N,68.0,B,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,No,No,No,No,No,No,No,No,No,No,No,,"Notified and Responded",No,No,No,Yes,No,No,No,No,No,No,,No
100000079684,1000115750,1000083917,2011-08-23,1200,"Ammonia (anhydrous) {2}",00002,311511,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,Yes,No,No,No,No,No,No,No,No,,"No, not notified",No,No,Yes,Yes,No,No,No,No,No,No,,No
100000242061,1000115734,1000083879,2022-02-19,2042,"Ammonia (anhydrous) {2327}",00230,311615,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,15.0,a,SE,5.0,A,No,No,0,0,0,2,0,0,25000.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,Yes,No,No,No,Yes,No,No,No,No,,"Notified and Responded",No,No,No,Yes,Yes,No,No,No,No,No,,No
100000242061,1000115734,1000083880,2019-10-30,1930,"Ammonia (anhydrous) {1}",00001,311615,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,0.1,a,N,30.0,F,No,No,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,No,No,No,No,No,No,Yes,No,No,No,No,,"Notified and Responded",No,Yes,No,No,No,No,No,No,No,No,,No
100000159366,1000115729,1000083878,2019-12-14,1110,"Ammonia (anhydrous) {130}",00015,49312,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,,9.0,a,S,45.0,,No,No,0,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,No,No,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,Yes,Yes,Yes,No,No,No,No,No,No,,No
100000159883,1000115726,1000083877,2020-07-31,2310,"Ammonia (anhydrous) {4963}",00325,49312,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,,,,91.0,,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,No,No,Yes,No,No,No,No,No,Yes,No,"Site participated in a Demand Response directed by Idaho Power","Notified and Responded",Yes,Yes,Yes,No,No,No,No,No,No,No,,No
100000065396,1000115683,1000083857,2020-08-09,1355,"Ammonia (anhydrous) {145}",02400,311513,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,10.0,a,SE,90.0,,Yes,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"Notified Only",Yes,No,No,No,No,No,No,No,No,No,,No
100000245629,1000115682,1000083837,2021-02-19,1415,"Propane {16}",00001,42471,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,None,b,Yes,Yes,No,No,No,No,No,No,No,Yes,No,,"Notified Only",No,No,Yes,Yes,No,No,No,No,No,No,,No
100000164092,1000115602,1000083817,2020-05-27,1430,"Ammonia (anhydrous) {10}",00020,49312,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,10.0,a,WSW,78.0,,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,150.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,No,No,No,No,No,No,No,No,No,,No
100000153139,1000115486,1000083800,2024-05-14,0940,"Ammonia (anhydrous) {2100}",00002,42491,No,Yes,No,No,No,No,No,No,No,No,No,No,"Sight gauge",5.0,a,N,60.0,D,No,No,0,0,0,0,0,0,2500.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,Yes,No,No,No,No,No,No,No,,"Notified Only",No,No,No,No,No,No,No,No,No,No,"Investigation continuing. Pending engineering recommendations.",No
100000225909,1000115482,1000083797,2018-01-02,0220,"Ethylene  [Ethene] {150}",00225,325199,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,13.0,a,NE,30.0,,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Flare,a,Yes,No,No,No,No,No,No,No,No,Yes,No,,"No, not notified",Yes,No,No,No,No,No,No,No,No,No,,No
100000225909,1000115482,1000083799,2017-04-30,1651,"Ethylene  [Ethene] {226}",00215,325199,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,none,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",Yes,No,No,No,No,No,No,No,No,No,,No
100000225909,1000115482,1000083798,2016-09-15,1818,"Ethylene  [Ethene] {625}",00222,325199,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,none,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",No,Yes,No,Yes,No,No,No,No,No,No,,No
